Actual Word,Potential Meaning,Frequency,Context Score,Timestamp
קודקוד,ג׳בליה,65,0.19,2023-10-19 18:38:14
חמניות,רקטה,19,0.12,2023-10-20 11:50:35
דובדבן,ג׳בליה,15,0.27,2023-10-18 05:56:04
פטריה,מוחמד דף,23,0.77,2023-10-08 14:08:13
מחצבה,רפיח,15,0.12,2023-10-22 13:49:33
צהובה,הגבול הדרומי,96,0.88,2023-10-22 11:41:32
פיסטוק,רימונים,34,0.69,2023-10-20 01:41:22
דובדבן,טיל נגד טנקים,29,0.66,2023-10-07 05:58:33
צהובה,ג׳יפ,77,0.63,2023-10-29 16:48:15
בודד,ג׳יפ,87,0.65,2023-10-26 09:14:41
קודקוד,תחמושת,59,0.33,2023-10-11 12:11:03
קודקוד,הגבול הדרומי,74,0.75,2023-10-17 05:11:59
שפן,אקדח,78,0.66,2023-10-15 08:33:38
שפן,קסאם,8,0.66,2023-10-11 23:51:37
תפוז,ג׳יפ,45,0.37,2023-10-16 18:46:12
בודד,רימונים,58,0.65,2023-10-13 12:29:13
דובדבן,מוחמד דף,42,0.28,2023-10-25 22:51:49
דובדבן,חיילים,91,0.65,2023-10-08 15:34:12
תפוז,רובה,32,0.42,2023-10-09 17:33:37
שחור,בסיס צה״ל,76,0.84,2023-10-12 20:22:13
עוגה,מוחמד דף,51,0.12,2023-10-09 05:52:46
תפוז,קסאם,17,0.81,2023-10-11 19:01:32
פטריה,קסאם,84,0.79,2023-10-07 06:10:54
פטריה,קו דיוח 453,71,0.16,2023-10-20 17:34:57
חמניות,מוחמד דף,72,0.74,2023-10-09 09:38:42
צהובה,קו דיוח 453,10,0.68,2023-10-23 17:50:11
תפוז,בסיס צה״ל,29,0.33,2023-10-25 07:24:19
קודקוד,ג׳יפ,99,0.36,2023-10-16 16:50:35
שפן,רקטה,55,0.28,2023-10-17 19:40:15
פטריה,נשק,98,0.73,2023-10-14 17:25:04
צהובה,נשק,14,0.13,2023-10-21 23:55:18
קודקוד,אקדח,13,0.29,2023-10-16 00:51:11
שחור,תחמושת,23,0.28,2023-10-22 08:06:33
בודד,רימונים,25,0.84,2023-10-15 18:57:59
דובדבן,איסמעיל הנייה,22,0.35,2023-10-27 02:42:07
דובדבן,רפיח,52,0.47,2023-10-14 03:05:08
צהובה,בסיס צה״ל,76,0.14,2023-10-23 04:05:03
שפן,טיל נגד מטוסים,5,0.66,2023-10-13 08:29:12
פטריה,קו דיוח 897,28,0.74,2023-10-23 10:57:56
חמניות,תחמושת,79,0.78,2023-10-08 07:22:39
שחור,טיל בליסטי,15,0.44,2023-10-17 19:32:38
תפוז,איסמעיל הנייה,82,0.84,2023-10-14 10:16:32
עץ,נשק,15,0.47,2023-10-24 14:18:09
פטריה,אקדח,72,0.25,2023-10-16 00:43:54
שחור,טיל בליסטי,91,0.74,2023-10-14 23:30:45
פטריה,ג׳יפ,34,0.5,2023-10-27 13:06:08
בודד,עזה,78,0.58,2023-10-20 10:09:42
שחור,איסמעיל הנייה,72,0.44,2023-10-17 17:21:08
קודקוד,ג׳יפ,8,0.12,2023-10-17 18:48:02
תפוז,טיל נגד טנקים,99,0.83,2023-10-29 18:46:39
תפוז,טיל נגד טנקים,87,0.61,2023-10-09 15:52:07
עץ,רימונים,17,0.87,2023-10-24 22:52:36
קודקוד,איסמעיל הנייה,6,0.42,2023-10-22 13:45:02
עוגה,בסיס צה״ל,5,0.79,2023-10-17 20:07:14
שפן,הגבול הדרומי,75,0.21,2023-10-29 15:54:44
דובדבן,רקטה,95,0.73,2023-10-14 05:30:58
עץ,רימונים,100,0.14,2023-10-26 00:11:50
ציפור,רפיח,3,0.55,2023-10-11 20:24:40
מחצבה,קו דיוח 897,87,0.71,2023-10-21 16:22:47
צהובה,רובה,96,0.66,2023-10-14 10:05:42
דובדבן,הגבול הדרומי,16,0.62,2023-10-14 05:41:39
צהובה,מוחמד דף,53,0.61,2023-10-20 22:57:43
דובדבן,קו דיוח 897,42,0.88,2023-10-07 07:11:03
פיסטוק,רקטה,12,0.56,2023-10-27 19:57:02
פיסטוק,טיל בליסטי,95,0.31,2023-10-20 05:51:28
שפן,רפיח,58,0.31,2023-10-17 13:12:54
עץ,טיל בליסטי,15,0.5,2023-10-25 02:08:05
ציפור,מוחמד דף,99,0.67,2023-10-13 05:07:41
חמניות,מוחמד דף,8,0.57,2023-10-09 19:19:42
פטריה,הגבול הדרומי,8,0.3,2023-10-11 07:02:44
פיסטוק,ג׳בליה,38,0.75,2023-10-17 17:12:55
כלב,רימונים,79,0.1,2023-10-24 13:31:16
כלב,מוחמד דף,68,0.47,2023-10-22 21:48:37
בודד,רפיח,76,0.66,2023-10-17 21:37:22
דובדבן,איסמעיל הנייה,82,0.78,2023-10-10 09:47:39
פטריה,טיל נגד מטוסים,67,0.44,2023-10-21 20:22:58
חמניות,ג׳בליה,41,0.84,2023-10-18 20:47:11
תפוז,קו דיוח 897,99,0.64,2023-10-22 14:03:51
מחצבה,אקדח,92,0.68,2023-10-20 00:40:04
חמניות,טיל נגד טנקים,40,0.38,2023-10-13 17:24:18
בודד,טיל בליסטי,54,0.42,2023-10-10 07:09:55
חמניות,בסיס צה״ל,77,0.12,2023-10-10 09:16:50
מחצבה,ג׳בליה,73,0.29,2023-10-28 20:12:21
כלב,טיל נגד טנקים,47,0.12,2023-10-13 05:15:03
קודקוד,רימונים,87,0.15,2023-10-11 16:59:20
כלב,בסיס צה״ל,66,0.85,2023-10-27 07:02:20
קודקוד,רפיח,86,0.39,2023-10-16 00:08:21
כלב,רימונים,48,0.75,2023-10-13 11:47:33
עוגה,טיל נגד טנקים,65,0.7,2023-10-10 19:11:37
חמניות,קו דיוח 162,66,0.18,2023-10-08 22:47:40
ציפור,הגבול הדרומי,64,0.35,2023-10-23 04:47:48
